交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.10.20,11,椰子,104,台北二,18.6,15.4,13.3,15.7,879
107.10.20,129,椰子-進口剝殼,104,台北二,16.7,13.4,12.5,13.9,96
107.10.20,31,釋迦,104,台北二,141.8,94.8,59,97,1953
107.10.20,459,草莓-進口,104,台北二,266.7,266.7,266.7,266.7,105
107.10.20,469,藍莓-進口藍莓,104,台北二,200,200,200,200,10
107.10.20,50,百香果-其他,104,台北二,74.9,56.1,30.9,54.8,527
107.10.20,51,百香果-改良種,104,台北二,71.8,41,23.3,43.7,5234
107.10.20,72,小番茄-聖女,104,台北二,168,129.2,83.9,127.9,376
107.10.20,74,小番茄-玉女,104,台北二,276.3,245.4,185.4,239.6,432
107.10.20,811,火龍果-白肉,104,台北二,49,30,16.9,31.2,8189
107.10.20,812,火龍果-紅肉,104,台北二,49.5,38.2,20.9,37,10961
107.10.20,91,其他,104,台北二,223.8,84.7,20,99.6,144
107.10.20,919,其他-進口,104,台北二,55.1,22.2,20,28.4,1020
107.10.20,A0,香蕉-其他,104,台北二,31.2,23.3,14.4,23.1,749
107.10.20,A1,香蕉,104,台北二,42.4,34.3,27.5,34.5,9285
107.10.20,A2,香蕉-芭蕉,104,台北二,44.6,19.2,10.2,22.5,4416
107.10.20,A3,香蕉-旦蕉,104,台北二,84,69.5,55,69.5,34
107.10.20,B0,鳳梨-其他,104,台北二,14.1,12.1,10.4,12.2,501
107.10.20,B2,鳳梨-金鑽鳳梨,104,台北二,29.4,24,14,23.1,2410
107.10.20,B6,鳳梨-甜蜜蜜,104,台北二,14,9.6,6,9.7,506
107.10.20,B9,鳳梨-進口,104,台北二,33.3,33.3,33.3,33.3,500
107.10.20,C1,椪柑,104,台北二,51.5,33.3,19.4,34.1,19726
107.10.20,C6,佛利檬-佛利檬,104,台北二,27,27,27,27,60
107.10.20,C9,椪柑-進口,104,台北二,633.3,434.7,333.3,454.2,32
107.10.20,E0,甜橙-其他,104,台北二,50,30.4,15.6,31.4,270
107.10.20,E1,甜橙-柳橙,104,台北二,31,22.3,14.1,22.4,8491
107.10.20,E9,甜橙-進口,104,台北二,18.5,18.5,18.5,18.5,702
107.10.20,F0,雜柑-其他,104,台北二,20,15.7,8,15,282
107.10.20,F1,雜柑-檸檬,104,台北二,38.1,21.7,5.1,21.6,1014
107.10.20,F4,雜柑-桔子,104,台北二,28,18.3,9.5,18.5,503
107.10.20,F5,雜柑-無子檸檬,104,台北二,41.4,24.1,8.9,24.5,1723
107.10.20,FA1,黃秋葵,104,台北二,103.3,60.1,9.4,58.6,652
107.10.20,FA9,百果-進口,104,台北二,250,250,250,250,10
107.10.20,FB11,花椰菜-青梗,104,台北二,87,74.2,46.5,71.2,3075
107.10.20,FB9,花椰菜-進口,104,台北二,30,29.4,28,29.3,224
107.10.20,FC1,胡瓜-黑刺,104,台北二,25.2,18.7,11.5,18.6,6393
107.10.20,FD0,花胡瓜-其他,104,台北二,47,47,47,47,27
107.10.20,FD1,花胡瓜,104,台北二,39.2,27.5,14.4,27.2,7736
107.10.20,FE1,冬瓜-白皮,104,台北二,13.3,11.9,8.4,11.5,1923
107.10.20,FF0,絲瓜-其他,104,台北二,22,18,9.9,17.2,332
107.10.20,FF1,絲瓜-絲瓜,104,台北二,25,17.2,10,17.3,12479
107.10.20,FF2,絲瓜-角瓜,104,台北二,55,38.5,32,40.5,85
107.10.20,FG0,苦瓜-其他,104,台北二,31.1,25,16.7,24.5,2332
107.10.20,FG1,苦瓜-白大米,104,台北二,58.8,42.3,28,42.7,4046
107.10.20,FG2,苦瓜-青大米,104,台北二,27.4,22.8,18,22.7,251
107.10.20,FG3,苦瓜-山苦瓜,104,台北二,85,85,85,85,13
107.10.20,FG4,苦瓜-翠綠,104,台北二,32,25.5,20.3,25.7,453
107.10.20,FH3,扁蒲-花蒲,104,台北二,13.7,10.9,5.9,10.5,1020
107.10.20,FH4,扁蒲-梨子蒲,104,台北二,21.1,14.5,7.8,14.5,4600
107.10.20,FI0,茄子-其他,104,台北二,70.7,28,20,35,114
107.10.20,FI2,茄子-麻荸茄,104,台北二,46.6,26.9,13.6,28.2,7470
107.10.20,FI3,茄子-日本種,104,台北二,14.9,10.2,7.2,10.5,375
107.10.20,FJ1,蕃茄-黑柿,104,台北二,135.9,96.6,73.5,99.8,165
107.10.20,FJ3,蕃茄-牛蕃茄,104,台北二,119.7,100.6,72.1,98.7,5334
107.10.20,FK0,甜椒-其他,104,台北二,142,142,142,142,30
107.10.20,FK4,甜椒-彩色種,104,台北二,174.2,77.7,28.4,87.1,1175
107.10.20,FK5,甜椒-青椒,104,台北二,69.2,31.7,16.4,36.1,1923
107.10.20,FL2,豌豆-紅花,104,台北二,120,120,120,120,60
107.10.20,FL5,豌豆-豌豆苗,104,台北二,150,150,150,150,20
107.10.20,FL6,豌豆-甜豌豆,104,台北二,194.5,187.8,126.6,176.9,232
107.10.20,FL9,豌豆-進口,104,台北二,175,155,155,159,100
107.10.20,FM1,菜豆-白色,104,台北二,45,40.9,28,39.1,29
107.10.20,FM2,菜豆-青色,104,台北二,80.6,69.6,36.4,65.1,957
107.10.20,FN1,敏豆-白豆,104,台北二,128.8,88.6,47.9,88.5,2868
107.10.20,FN4,敏豆-翼豆,104,台北二,24,19.9,12.1,19.2,204
107.10.20,FN5,敏豆-醜豆,104,台北二,114.1,81.4,45.5,80.8,732
107.10.20,FP1,萊豆-豆莢,104,台北二,150,137.4,100,132.4,74
107.10.20,FQ1,毛豆-豆莢,104,台北二,70,65.7,63,66,70
107.10.20,FQ2,毛豆-豆仁,104,台北二,210,210,210,210,49
107.10.20,FR1,青花苔,104,台北二,60,45.6,39.3,47.2,1405
107.10.20,FR9,青花苔-進口,104,台北二,100,82.9,44.9,78.7,4320
