交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
107.11.15,11,椰子,104,台北二,16.2,13.6,11.6,13.7,984
107.11.15,31,釋迦,104,台北二,114.4,61.3,48.8,69.4,711
107.11.15,45,草莓,104,台北二,170,148.7,135,150.2,22
107.11.15,50,百香果-其他,104,台北二,60.8,26.2,10.9,30.1,351
107.11.15,51,百香果-改良種,104,台北二,56.4,21.1,9.5,25.8,4905
107.11.15,70,小番茄-其他,104,台北二,61.1,58.2,50,57.1,274
107.11.15,72,小番茄-聖女,104,台北二,82.3,47.2,34,51.6,3090
107.11.15,73,小番茄-嬌女,104,台北二,37,37,37,37,24
107.11.15,74,小番茄-玉女,104,台北二,239,179.2,95.3,174.4,570
107.11.15,811,火龍果-白肉,104,台北二,55.8,44,29.1,43.4,2072
107.11.15,812,火龍果-紅肉,104,台北二,41.8,29.9,18.8,30.1,15690
107.11.15,839,櫻桃-進口,104,台北二,361.1,333.3,316.6,335.6,180
107.11.15,849,石榴-進口,104,台北二,89.1,63.4,46.7,65.2,2070
107.11.15,91,其他,104,台北二,236.2,57.5,50,91.7,134
107.11.15,919,其他-進口,104,台北二,240,240,240,240,10
107.11.15,A0,香蕉-其他,104,台北二,37.5,30.8,16.3,29.2,272
107.11.15,A1,香蕉,104,台北二,44,39.8,28.9,38.5,10095
107.11.15,A2,香蕉-芭蕉,104,台北二,52.9,26.4,16.8,29.8,1902
107.11.15,A3,香蕉-旦蕉,104,台北二,98.2,81.6,54.8,79.6,101
107.11.15,B2,鳳梨-金鑽鳳梨,104,台北二,25,20.7,11.5,19.7,5449
107.11.15,C0,椪柑(其他)-其他,104,台北二,45,40,35,40,65
107.11.15,C1,椪柑,104,台北二,34.7,24.3,15.3,24.6,44985
107.11.15,C6,佛利檬-佛利檬,104,台北二,90,53,25,54.8,215
107.11.15,C9,椪柑-進口,104,台北二,409.7,293.3,293.3,316.6,211
107.11.15,E0,甜橙-其他,104,台北二,80,26.6,13,34.5,112
107.11.15,E1,甜橙-柳橙,104,台北二,27.3,19.4,11.8,19.5,9849
107.11.15,F1,雜柑-檸檬,104,台北二,57.2,23.7,7.3,27.1,1427
107.11.15,F2,雜柑-金棗,104,台北二,35,35,35,35,216
107.11.15,F4,雜柑-桔子,104,台北二,76,57.9,17,53.3,39
107.11.15,F5,雜柑-無子檸檬,104,台北二,58.3,44,14.5,41,1744
107.11.15,FA1,黃秋葵,104,台北二,89.5,25.6,4.2,34.1,467
107.11.15,FA9,百果-進口,104,台北二,250,250,250,250,30
107.11.15,FB11,花椰菜-青梗,104,台北二,46.5,36.3,23.2,35.7,6983
107.11.15,FC1,胡瓜-黑刺,104,台北二,13.5,9.7,5.7,9.6,7237
107.11.15,FD0,花胡瓜-其他,104,台北二,45,43.3,32,41.4,50
107.11.15,FD1,花胡瓜,104,台北二,35.2,24.9,13.8,24.7,8537
107.11.15,FE1,冬瓜-白皮,104,台北二,9.9,8.3,5.9,8.1,884
107.11.15,FF0,絲瓜-其他,104,台北二,20,16.6,10,15.9,123
107.11.15,FF1,絲瓜-絲瓜,104,台北二,28.3,19.5,10.5,19.4,4772
107.11.15,FF2,絲瓜-角瓜,104,台北二,35,35,35,35,24
107.11.15,FG0,苦瓜-其他,104,台北二,27.2,23.9,18.4,23.5,1362
107.11.15,FG1,苦瓜-白大米,104,台北二,43.4,34.8,26.4,34.8,4634
107.11.15,FG2,苦瓜-青大米,104,台北二,21.3,20,17,19.7,142
107.11.15,FG4,苦瓜-翠綠,104,台北二,34.2,27.1,18.1,26.7,388
107.11.15,FH3,扁蒲-花蒲,104,台北二,10.9,6,3.4,6.5,1072
107.11.15,FH4,扁蒲-梨子蒲,104,台北二,15.6,9.7,6,10.2,2400
107.11.15,FI0,茄子-其他,104,台北二,26,23.9,20,23.5,68
107.11.15,FI1,茄子-胭脂茄,104,台北二,28.8,25.1,16.3,24.1,1115
107.11.15,FI2,茄子-麻荸茄,104,台北二,41.8,22.4,12.9,24.4,5196
107.11.15,FI3,茄子-日本種,104,台北二,24.9,16.7,13.7,17.8,111
107.11.15,FJ1,蕃茄-黑柿,104,台北二,53.7,43.3,22.1,41.1,997
107.11.15,FJ3,蕃茄-牛蕃茄,104,台北二,52.8,37,20.5,36.8,7706
107.11.15,FK0,甜椒-其他,104,台北二,40,40,40,40,28
107.11.15,FK3,甜椒-新香,104,台北二,32,29.4,25,29,47
107.11.15,FK4,甜椒-彩色種,104,台北二,66.3,46,30.1,46.9,2159
107.11.15,FK5,甜椒-青椒,104,台北二,42.2,26.4,11.9,26.7,3019
107.11.15,FK9,甜椒-進口,104,台北二,33,30.3,30,30.8,200
107.11.15,FL2,豌豆-紅花,104,台北二,120,64.1,38,70.1,108
107.11.15,FL3,豌豆-豆莢,104,台北二,85,85,85,85,1
107.11.15,FL5,豌豆-豌豆苗,104,台北二,142.2,34.3,23.1,53.6,540
107.11.15,FL6,豌豆-甜豌豆,104,台北二,93.7,33.8,28.7,44.7,578
107.11.15,FL9,豌豆-進口,104,台北二,105,102.5,100,102.5,240
107.11.15,FM2,菜豆-青色,104,台北二,60.2,43.2,21,42.2,501
107.11.15,FN1,敏豆-白豆,104,台北二,53.9,40.2,20.3,39,4749
107.11.15,FN3,敏豆-粉豆,104,台北二,44,28.8,25,31.1,70
107.11.15,FN4,敏豆-翼豆,104,台北二,12,11.2,11,11.3,392
107.11.15,FN5,敏豆-醜豆,104,台北二,52,42.4,17.7,39.4,1608
107.11.15,FP1,萊豆-豆莢,104,台北二,115,103.6,70.2,99.2,155
107.11.15,FQ1,毛豆-豆莢,104,台北二,70,70,70,70,36
107.11.15,FQ2,毛豆-豆仁,104,台北二,180,160,160,164,45
107.11.15,FR1,青花苔,104,台北二,38.4,23.8,15.2,25,16041
107.11.15,FR2,青花苔-青花筍,104,台北二,104,66.4,28.2,66.3,93
107.11.15,FR9,青花苔-進口,104,台北二,88.5,55.8,50,61.2,1080
107.11.15,FS2,越瓜-加工,104,台北二,40,40,40,40,60
107.11.15,FT1,南瓜-木瓜形,104,台北二,19.5,14.2,7.2,13.8,5321
